date,actual,forecast,previous
"May 26, 2022",210,217,218
"May 19, 2022",218,200,197
"May 12, 2022",203,190,202
"May 5, 2022",200,180,181
"Apr 28, 2022",180,178,185
"Apr 21, 2022",184,177,186
"Apr 14, 2022",185,172,167
"Apr 7, 2022",166,201,171
"Mar 31, 2022",202,195,188
"Mar 24, 2022",187,210,215
"Mar 17, 2022",214,221,229
"Mar 10, 2022",227,220,216
"Mar 3, 2022",215,223,233
"Feb 24, 2022",232,233,249
"Feb 17, 2022",248,217,225
"Feb 10, 2022",223,227,239
"Feb 3, 2022",238,245,261
"Jan 27, 2022",260,260,290
"Jan 20, 2022",286,227,231
"Jan 13, 2022",230,199,207
"Jan 6, 2022",207,199,200
"Dec 30, 2021",198,205,206
"Dec 23, 2021",205,200,205
"Dec 16, 2021",206,196,188
"Dec 9, 2021",184,218,227
"Dec 2, 2021",222,238,194
"Nov 24, 2021",199,259,270
"Nov 18, 2021",268,260,269
"Nov 10, 2021",267,257,271
"Nov 4, 2021",269,273,283
"Oct 28, 2021",281,290,291
